"int2.5","intmean","int97.5","s2.5","smean","s97.5","pop"
-5.97608666438631,-5.70720155727895,-5.43067022703984,3.17307487397187,3.27851909174356,3.38167402321787,"Reference"
-6.23689276685939,-5.73050801631894,-5.40376785012213,3.15947723011149,3.28077847679584,3.46877179764387,"GA 1"
-5.70118364070653,-5.43942435609444,-5.13000207490718,3.04979069137065,3.16851937869671,3.27091212559676,"GA 2"
-5.79717957515238,-5.54270619951587,-5.33636952361285,3.13335869658028,3.21380750858175,3.3128601659884,"GA 3"
-5.57037210832064,-5.42691549314117,-5.27428987309128,3.11058195475071,3.16973689023273,3.2266522556311,"SD 1"
-5.47926562623193,-5.19998664735536,-4.94719245298578,2.98205116543754,3.07942020167244,3.18601260903689,"SD 2"
-5.69501187248112,-5.59480076497738,-5.4958495977974,3.18076843272582,3.21982071163626,3.26228679741872,"SD 3"
