"name","Lwr95CI","Estimate","Upr95CI","t value","p value"
"(Intercept)",-5.7162023302321,-5.70217114169291,-5.68813995315373,-796.541856868129,0
"log10(length)",3.27126187015685,3.27663403063867,3.28200619112049,1195.47851190665,0
"StateGA2",-0.248428012490235,-0.0106709379391409,0.227086136611953,-0.0879694669488349,0.929901437264054
"StateGA3",0.148647765208901,0.25070831591228,0.352768866615659,4.81474894716348,1.47987742438183e-06
"StateGA4",0.00621262282935281,0.194049458400242,0.381886293971131,2.02485759971277,0.0428894160986604
"StateSD13",0.354867556759884,0.528146505843388,0.701425454926891,5.9740853122664,2.33571673113886e-09
"StateSD25",0.0129228136515966,0.0990936413472159,0.185264469042835,2.25397107085774,0.0242040259339238
"StateSD4",0.202449108806179,0.277220505837282,0.351991902868386,7.26695835205469,3.75255382323303e-13
"log10(length):StateGA2",-0.0898255244405865,-0.00186714895077861,0.0860912265390293,-0.0416068253475159,0.966812364776973
"log10(length):StateGA3",-0.142287617788155,-0.103167717347466,-0.0640478169067764,-5.16902812756534,2.3658038328378e-07
"log10(length):StateGA4",-0.148255199630788,-0.0757242341875587,-0.0031932687443296,-2.0463232859494,0.0407318826933287
"log10(length):StateSD13",-0.273021082532326,-0.206992831034842,-0.140964579537357,-6.14452509467582,8.10494560354869e-10
"log10(length):StateSD25",-0.0889777318169959,-0.0539641879565709,-0.0189506440961459,-3.02087246923056,0.00252225819609331
"log10(length):StateSD4",-0.137464918095797,-0.107955259788078,-0.0784456014803589,-7.17038443491562,7.62501173312558e-13
