"","2.5","mean","97.5","2.5","mean","97.5"
"Reference",-6.08357793398761,-5.70381567883607,-5.30362796074316,3.12464272286804,3.27711752198019,3.42233366131941
"GA 1",-6.40486130430012,-5.75647756063026,-5.28769544261775,3.11755811034087,3.29032791416263,3.53137315752065
"GA 2",-5.80526761353888,-5.42836510135253,-4.93439548287601,2.97572565296881,3.16434550909365,3.30912643912643
"GA 3",-5.90699813724563,-5.5543606756089,-5.28715485797138,3.11256186424106,3.21820124804901,3.35541211016677
"SD 1",-5.57151407501553,-5.42771862217846,-5.27991924232841,3.11345362767622,3.1700975344117,3.22587450722694
"SD 2",-5.47309120824162,-5.1965493217578,-4.95041479694014,2.98205116543754,3.07807376871037,3.18379363883759
"SD 3",-5.67826838643073,-5.59450684708886,-5.50830153943385,3.18616371515724,3.21957174072964,3.25539667747411
