".25",".5",".75",".25",".5",".75",".25",".5",".75",".25",".5",".75",".25",".5",".75",".25",".5",".75"
60,85,115,220,331,430,660,850,1050,1560,1871,2268,3040.75,3405,3859.25,NA,NA,NA
146,NA,NA,200,348,424,793,966,1152,1490.5,1789,2100,2795,3163,3581.5,NA,NA,NA
73.5,89.5,102.25,193,250.5,314.5,781,884,996,1419,1700,2000,2840,3600,3985,NA,NA,NA
110,NA,NA,182.5,225.5,254.25,778,968,1149.25,1420,1699,2045,2500,NA,NA,NA,NA,NA
19,22,26,277,324,383.25,632.25,851.5,1064,1425,1545.5,1833.5,3207,NA,NA,NA,NA,NA
122,NA,NA,165.25,332.5,446.25,722,889,1053,1434,1522,1641,3012,NA,NA,NA,NA,NA
18.75,22.5,30,270.5,308,394.5,853.25,1029.5,1238.25,1399,1598,1897,2720.5,2829,3135.25,NA,NA,NA
