State,length,weight,lake
GA,620,2500,2
GA,620,2780,2
GA,622,2445,2
GA,622,2448,2
GA,622,2836,2
GA,624,2933,2
GA,625,2690,2
GA,625,2690,2
GA,627,2425,2
GA,630,2795,2
GA,630,2795,2
GA,636,2774,2
GA,638,2780,2
GA,645,2800,2
GA,649,2560,2
GA,654,3780,2
GA,655,3163,2
GA,663,3042,2
GA,665,3165,2
GA,670,2890,2
GA,674,3231,2
GA,675,3366,2
GA,685,3383,2
GA,733,5055,2
GA,740,3987,2
GA,740,3987,2
GA,192,57,3
GA,200,61,3
GA,200,64,3
GA,200,68,3
GA,205,60,3
GA,210,67,3
GA,215,75,3
GA,215,83,3
GA,220,67,3
GA,220,72,3
GA,220,79,3
GA,220,82,3
GA,222,81,3
GA,225,78,3
GA,225,80,3
GA,225,90,3
GA,225,91,3
GA,225,95,3
GA,227,106,3
GA,230,89,3
GA,230,94,3
GA,230,96,3
GA,230,110,3
GA,235,74,3
GA,235,101,3
GA,236,109,3
GA,238,90,3
GA,240,100,3
GA,240,114,3
GA,240,118,3
GA,242,100,3
GA,242,109,3
GA,247,134,3
GA,248,121,3
GA,250,119,3
GA,250,121,3
GA,250,139,3
GA,252,167,3
GA,252,174,3
GA,253,145,3
GA,255,151,3
GA,255,157,3
GA,256,129,3
GA,256,143,3
GA,256,145,3
GA,256,149,3
GA,256,153,3
GA,259,134,3
GA,260,139,3
GA,260,155,3
GA,260,184,3
GA,263,155,3
GA,263,155,3
GA,264,160,3
GA,264,176,3
GA,265,150,3
GA,265,165,3
GA,265,190,3
GA,266,168,3
GA,268,156,3
GA,268,161,3
GA,268,165,3
GA,268,202,3
GA,270,161,3
GA,270,198,3
GA,271,173,3
GA,272,171,3
GA,274,186,3
GA,275,170,3
GA,275,183,3
GA,275,199,3
GA,275,289,3
GA,276,190,3
GA,276,193,3
GA,276,200,3
GA,276,202,3
GA,278,179,3
GA,278,188,3
GA,278,200,3
GA,279,187,3
GA,279,190,3
GA,279,190,3
GA,279,195,3
GA,279,205,3
GA,280,176,3
GA,280,177,3
GA,280,196,3
GA,280,200,3
GA,280,204,3
GA,281,195,3
GA,281,206,3
GA,282,190,3
GA,282,193,3
GA,282,208,3
GA,282,212,3
GA,283,220,3
GA,284,212,3
GA,285,147,3
GA,285,218,3
GA,285,265,3
GA,286,214,3
GA,287,212,3
GA,288,205,3
GA,288,211,3
GA,289,225,3
GA,290,206,3
GA,290,218,3
GA,290,221,3
GA,290,233,3
GA,290,234,3
GA,291,210,3
GA,292,243,3
GA,293,218,3
GA,293,235,3
GA,294,272,3
GA,295,228,3
GA,295,234,3
